created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2021-08-19 00:13:40 +08,1,28.76,74.94,,,,
2021-08-19 00:14:42 +08,2,28.47,76.14,,,,
2021-08-19 00:15:44 +08,3,28.29,76.60,,,,
2021-08-19 00:16:46 +08,4,28.04,77.64,,,,
2021-08-19 00:17:47 +08,5,27.88,78.36,,,,
2021-08-19 00:18:49 +08,6,27.80,78.75,,,,
2021-08-19 00:19:51 +08,7,27.75,78.99,,,,
2021-08-19 00:20:53 +08,8,27.72,79.11,,,,
2021-08-19 00:21:55 +08,9,27.69,79.23,,,,
2021-08-19 00:22:57 +08,10,27.70,79.23,,,,
2021-08-19 00:23:58 +08,11,27.69,79.29,,,,
2021-08-19 00:25:00 +08,12,27.68,79.31,,,,
2021-08-19 00:26:02 +08,13,27.68,79.33,,,,
2021-08-19 00:27:04 +08,14,27.69,79.32,,,,
2021-08-19 00:28:06 +08,15,27.67,79.37,,,,
2021-08-19 00:29:08 +08,16,27.75,79.46,,,,
2021-08-19 00:30:09 +08,17,27.73,79.15,,,,
2021-08-19 00:31:11 +08,18,27.70,79.16,,,,
2021-08-19 00:32:13 +08,19,27.68,79.12,,,,
2021-08-19 00:33:15 +08,20,27.63,79.19,,,,
2021-08-19 00:34:17 +08,21,27.60,79.29,,,,
2021-08-19 00:35:19 +08,22,27.57,79.39,,,,
2021-08-19 00:36:20 +08,23,27.55,79.42,,,,
2021-08-19 00:37:22 +08,24,27.57,79.31,,,,
2021-08-19 00:38:24 +08,25,27.55,79.34,,,,
2021-08-19 00:39:26 +08,26,27.53,79.39,,,,
2021-08-19 00:40:28 +08,27,27.52,79.41,,,,
2021-08-19 00:41:30 +08,28,27.47,79.51,,,,
2021-08-19 00:42:31 +08,29,27.47,79.50,,,,
2021-08-19 00:43:33 +08,30,27.47,79.46,,,,
2021-08-19 00:44:35 +08,31,27.47,79.45,,,,
2021-08-19 00:45:37 +08,32,27.46,79.43,,,,
2021-08-19 00:46:39 +08,33,27.46,79.43,,,,
2021-08-19 00:47:41 +08,34,27.44,79.37,,,,
2021-08-19 00:48:43 +08,35,27.42,79.41,,,,
2021-08-19 00:49:44 +08,36,27.43,79.43,,,,
2021-08-19 00:50:46 +08,37,27.41,79.44,,,,
2021-08-19 00:51:48 +08,38,27.43,79.52,,,,
2021-08-19 00:52:50 +08,39,27.41,79.42,,,,
2021-08-19 00:53:52 +08,40,27.42,79.42,,,,
2021-08-19 00:54:54 +08,41,27.38,79.51,,,,
